"age" "white" "educ" "female" "party" "ideol" "income" "equality" "econ.sec" "moral.trad" "obama.app"
"1011" 4 1 2 0 2 4 13 1.5 4 1.5 2
"1012" 6 0 1 1 1 1 6 3.5 3.5 5 0
"1014" 1 1 2 1 3 4 6 3 1.5 1.5 0
"1016" 7 1 4 0 5 4 11 2.5 2.5 4.5 4
"1017" 4 1 4 0 1 2 16 3 4 1 0
"1022" 5 1 4 1 2 2 15 3 1 4 0
"1024" 6 1 2 0 4 2 8 1 2 4 0
"1027" 2 1 4 1 2 2 12 1 2 5 3
"1030" 5 1 4 0 3 4 13 3 2 1 0
"1031" 3 1 2 0 1 2 3 1.5 1.5 5 0
"1032" 2 0 4 0 6 6 14 4 3 1 4
"1033" 5 0 3 1 7 6 9 5 2 1 4
"1037" 2 1 4 0 6 5 14 4 4 1 4
"1040" 2 1 4 1 5 5 12 2 3 1 4
"1042" 5 1 1 0 6 4 7 3 2 1 1
"1043" 1 1 4 0 1 2 8 3 2 5 1
"1050" 1 1 3 0 1 2 17 4 5 1 0
"1051" 5 1 4 0 3 4 11 3 2 1 4
"1052" 3 1 2 1 3 3 3 3 3 1 4
"1054" 6 1 3 1 2 3 8 1 3 2 0
"1055" 2 1 3 1 6 6 13 1 4 2 4
"1056" 4 0 2 1 7 6 8 4 2 1 3
"1057" 3 1 2 0 5 4 10 2 5 2 0
"1059" 5 1 2 1 1 2 12 1.5 4 5 1
"1060" 4 1 2 0 1 2 11 2 1 5 0
"1062" 5 1 2 0 2 4 13 2 3 1 1
"1063" 3 1 2 0 3 4 13 1 3 2 4
"1064" 4 1 1 1 2 4 7 3.5 5 1 4
"1065" 3 0 4 0 5 4 14 3 2 1 4
